avg,name
74.26219157,BERT-base
74.13405869,BERT-base
76.68678892,BERT-base
74.19423431,BERT-base
75.31274591,BERT-base
74.50190324,BERT-base
75.75188266,BERT-base
73.1598423,BERT-base
75.70695004,BERT-base
75.84563752,BERT-base
75.58453294,BERT-base
74.54330781,BERT-base
74.17001434,BERT-base
75.18337919,BERT-base
76.53225786,BERT-base
75.00173067,BERT-base
75.21067146,BERT-base
74.61015936,BERT-base
75.83301125,BERT-base
75.52042911,BERT-base
75.80846398,BERT-base
73.65753196,BERT-base
75.81842453,BERT-base
75.10056556,BERT-base
74.72786972,BERT-base
73.99418481,BERT-base
73.70218406,BERT-base
76.70288115,BERT-base
74.58391268,BERT-base
75.76527383,BERT-base
76.53657714,BERT-base
76.06237474,BERT-base
75.28214808,BERT-base
74.86070197,BERT-base
76.26097996,BERT-base
75.50730114,BERT-base
74.6756561,BERT-base
75.56749568,BERT-base
75.92375223,BERT-base
74.59956809,BERT-base
73.9103757,BERT-base
75.55653849,BERT-base
75.43759248,BERT-base
74.07760306,BERT-base
74.84350031,BERT-base
74.32195987,BERT-base
75.0553118,BERT-base
75.85288128,BERT-base
74.68864241,BERT-base
74.70333875,BERT-base
77.27619987,BERT-large
75.21205368,BERT-large
74.65371784,BERT-large
75.13657151,BERT-large
72.50232637,BERT-large
76.88899957,BERT-large
76.97486889,BERT-large
76.28296494,BERT-large
72.72454946,BERT-large
76.79897027,BERT-large
76.11665556,BERT-large
76.39946845,BERT-large
75.09449079,BERT-large
70.30570012,BERT-large
72.55020223,BERT-large
75.62463182,BERT-large
76.01055906,BERT-large
76.17418241,BERT-large
76.349924,BERT-large
74.25800277,BERT-large
76.51240277,BERT-large
74.79209239,BERT-large
76.73901626,BERT-large
75.55802231,BERT-large
72.50479066,BERT-large
74.24152002,BERT-large
76.1309208,BERT-large
76.11512934,BERT-large
75.6644678,BERT-large
75.55793674,BERT-large
76.31257595,BERT-large
74.7746054,BERT-large
74.55028951,BERT-large
72.6948208,BERT-large
74.95705158,BERT-large
74.99028545,BERT-large
77.12594794,BERT-large
76.0924995,BERT-large
73.32713451,BERT-large
76.54220731,BERT-large
73.59877939,BERT-large
72.4003776,BERT-large
70.34076684,BERT-large
75.76900921,BERT-large
75.15168507,BERT-large
74.14388492,BERT-large
71.35799061,BERT-large
75.6112696,BERT-large
74.0815036,BERT-large
76.52059277,BERT-large
74.75911355,RoBERTa-base
74.64409809,RoBERTa-base
74.72423637,RoBERTa-base
74.24783898,RoBERTa-base
74.743685,RoBERTa-base
74.82286358,RoBERTa-base
74.77134308,RoBERTa-base
74.72546917,RoBERTa-base
74.51646018,RoBERTa-base
74.4118455,RoBERTa-base
74.31057915,RoBERTa-base
74.77170602,RoBERTa-base
74.32853359,RoBERTa-base
74.74149388,RoBERTa-base
74.49352427,RoBERTa-base
74.69163617,RoBERTa-base
74.56647675,RoBERTa-base
74.27146281,RoBERTa-base
74.64917421,RoBERTa-base
74.53706939,RoBERTa-base
74.71991654,RoBERTa-base
74.67706369,RoBERTa-base
74.94269013,RoBERTa-base
74.78173796,RoBERTa-base
74.97239561,RoBERTa-base
75.14257774,RoBERTa-base
74.60733446,RoBERTa-base
74.55271163,RoBERTa-base
74.58930144,RoBERTa-base
74.85515766,RoBERTa-base
74.80495245,RoBERTa-base
74.6795805,RoBERTa-base
74.66901427,RoBERTa-base
74.47451344,RoBERTa-base
74.59823637,RoBERTa-base
74.33294801,RoBERTa-base
74.24494663,RoBERTa-base
74.50461016,RoBERTa-base
74.57543084,RoBERTa-base
74.38771253,RoBERTa-base
74.41474797,RoBERTa-base
74.56467455,RoBERTa-base
74.46629925,RoBERTa-base
74.17454857,RoBERTa-base
74.50736758,RoBERTa-base
74.9695194,RoBERTa-base
74.60326871,RoBERTa-base
74.48936934,RoBERTa-base
74.86432616,RoBERTa-base
74.26749107,RoBERTa-base
77.40195399,RoBERTa-large
76.54051411,RoBERTa-large
76.76298122,RoBERTa-large
76.32611715,RoBERTa-large
76.76962901,RoBERTa-large
75.84250537,RoBERTa-large
77.11352388,RoBERTa-large
76.78286359,RoBERTa-large
75.87111713,RoBERTa-large
77.28045668,RoBERTa-large
77.01807332,RoBERTa-large
76.54504749,RoBERTa-large
76.63471666,RoBERTa-large
76.72587696,RoBERTa-large
77.0069662,RoBERTa-large
75.63545868,RoBERTa-large
77.13576527,RoBERTa-large
76.45691517,RoBERTa-large
76.50894343,RoBERTa-large
75.71308821,RoBERTa-large
76.61402718,RoBERTa-large
75.9848529,RoBERTa-large
77.07758956,RoBERTa-large
76.68281118,RoBERTa-large
76.12841431,RoBERTa-large
76.11428794,RoBERTa-large
77.04934557,RoBERTa-large
76.32108208,RoBERTa-large
76.53653284,RoBERTa-large
77.12233253,RoBERTa-large
76.21785076,RoBERTa-large
77.18931946,RoBERTa-large
76.19126837,RoBERTa-large
76.49513248,RoBERTa-large
77.37601,RoBERTa-large
76.98633383,RoBERTa-large
77.69245719,RoBERTa-large
76.92316711,RoBERTa-large
77.08871879,RoBERTa-large
77.46607727,RoBERTa-large
77.6125234,RoBERTa-large
76.17542632,RoBERTa-large
76.40107667,RoBERTa-large
76.75043972,RoBERTa-large
76.75454442,RoBERTa-large
76.78581497,RoBERTa-large
76.52083948,RoBERTa-large
76.76781226,RoBERTa-large
77.4025735,RoBERTa-large
77.22776459,RoBERTa-large
